,University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments,lon,lat
4013,Virginia Tech,Statistics ,43000.0,2.04,2018-2019,1st,Accepted but declined offer and attended elsewhere.  Funding was subject to performance in future years,-80.40839349999999,37.207
4014,"University of Texas , Austin (UT)",Statistics,20250.0,0.89,2018-2019,1st,Accepted but declined offer and attended elsewhere.  ,-97.734734,30.269594
4015,University of Missouri (MU),Statistics,20600.0,1.0,2018-2019,1st,Accepted but declined offer and attended elsewhere.  Includes $2000 one time fellowship,-117.319692,34.173184
4016,Florida State University (FSU),Statistics,15012.0,0.64,2018-2019,1st,Accepted but declined offer and attended elsewhere,-84.298289,30.444751
4017,"University of California , Los Angeles (UCLA)",Molecular Biology,32000.0,1.24,2017-2018,5th,,-118.444563,34.071048
4018,"Texas A&M University , College Station",Statistics ,43000.0,,2018-2019,1st,"Diversity Fellowship Receiptant 
20k required TAship plus 18k additional funding for 3 years
5k one time bonus scholarship and completely waived fees for three years.
Summer funding is possible but I declined",-96.34213299999999,30.614044
4019,"University of Texas Southwestern Medical Center , Dallas",Neuroscience,31996.0,1.48,2018-2019,2nd,Fees for health insurance,-96.858624,32.811842
4020,"University of Colorado , Boulder (UCB)",Geological Sciences,22472.0,0.88,2018-2019,3rd,,-105.2617842,40.0069447
4021,Michigan State University (MSU),EAD,27000.0,1.32,2018-2019,2nd,,-84.481719,42.731303
4022,Montana State University (MSU),Land Resources and Environmental Science,28000.0,1.34,2018-2019,2nd,,-111.0497855,45.668667
4023,Duke University (DU),Biomedical Engineering,44000.0,1.98,2018-2019,1st,Health and dental insurance included. Received two internal fellowships and bonus for NSF-GRFP.,-78.9371308,36.0060219
4024,Duke University (DU),Biomedical Engineering,31000.0,1.39,2018-2019,,"Internal fellowships will increase stipend by $5000 - $10000.
NSF GRFP winners receive base $34000/year, with additional $5000 at beginning of tenure.",-78.9371308,36.0060219
4025,Duke University (DU),Genetics & Genomics,31160.0,1.4,2018-2019,1st,,-78.9371308,36.0060219
4026,University of Akron,Polymer Science,22000.0,1.11,2018-2019,2nd,,-81.51047700000001,41.075425
4027,University of Rochester (UR),Environmental Medicine/ Toxicology (PhD),28987.0,1.36,2018-2019,3rd,"Health Insurance included for free ($3,000 value), free tuition ($52, 000 value), 2 bedroom townhouse 1 mile from campus for $1,195, and parking pass for $380.",7.497353,46.308815
4028,Northern Arizona University (NAU),Biology,24300.0,1.04,2018-2019,1st,,-111.658162,35.189018
