,University,Department,Overall Pay,LW Ratio,Academic Year,Program Year,Comments,lon,lat
1059,Western Sydney University,School of Science/PhD,26600.0,,2019-2020,3rd,,151.07108,-33.84561
1060,University of Leeds,,18406.0,,2017-2018,3rd,,-1.552503,53.807217
1061,Michigan State University (MSU),Earth andEnvironmental sciences ,33980.0,1.66,2018-2019,4th,,-84.481719,42.731303
1062,"University of Minnesota , Twin Cities (UM)",Plant and Microbial biology ,26800.0,1.17,2018-2019,1st,,51.4,25.42
1063,Duke University (DU),Biology/Genetics & Genomics,31300.0,1.41,2019-2020,4th,I can't remember exactly how much our stipend is before tax.... more than $31k but less than $32k.,-78.9371308,36.0060219
1064,University College Dublin,Law,18000.0,,2019-2020,3rd,"In addition to my stipend my tuition fees are also covered - these are around $4,000 per year.

As part of my funding I also have to do about 4 hours teaching per week during term time (unpaid).",-6.2201315,53.306833
1065,The Catholic University of America,School of Theology and Religious Studies,17785.0,0.58,2018-2019,4th,Tuition is fully covered ,-76.996299,38.933378
1066,"University of Michigan , Ann Arbor (UM)",Musicology,21778.0,0.94,2018-2019,4th,"8 month contract includes tuition, health insurance/dental, other benefits",-83.73849799999999,42.2771875
1067,"Rutgers the State University of New Jersey , New Brunswick",English,22700.0,0.88,2018-2019,5th,"This is on fellowship; on a TA/GA , stipend is about 26,000",-74.447763,40.50005625
1068,Florida State University (FSU),"Nutrition, Food, and Exercise Sciences",25000.0,1.07,2018-2019,1st,School insurance covered at 100%,-84.298289,30.444751
1069,"University of Michigan , Ann Arbor (UM)",Program in Chemical Biology,31716.0,1.37,2018-2019,5th,,-83.73849799999999,42.2771875
1070,Indiana University,Folklore,11450.0,0.67,2014-2015,4th,,-86.520913,39.16719
1071,Indiana University,Folklore,13950.0,0.81,2013-2014,3rd,,-86.520913,39.16719
1072,Indiana University,Folklore,13950.0,0.81,2012-2013,2nd,,-86.520913,39.16719
1073,"University of Minnesota , Twin Cities (UM)",Epidemiology,23878.0,1.04,2018-2019,3rd,,51.4,25.42
1074,University of Cincinnati (UC),Biomedical Informatics,27500.0,1.42,2019-2020,2nd,,-84.515631,39.1319205
1075,Johns Hopkins University (JHU),Public Health,12000.0,0.47,2018-2019,3rd,"We receive tuition coverage, but NO stipend. Any pay is earned through RA and TA work, or work off campus.",-76.6203555,39.328937499999995
1076,"University of Michigan , Ann Arbor (UM)",Joint PhD for Social Work and Social Science,25600.0,1.11,2018-2019,1st,,-83.73849799999999,42.2771875
1077,New York University (NYU),Center for Neural Science,42000.0,1.41,2019-2020,4th,The 42000 includes a 6000 housing stipend.,-73.9621555,40.807559499999996
1078,University of Houston (UH),Chemical and Biomolecular Engineering,28000.0,1.28,2018-2019,4th,,-95.360387,29.766112
1079,University of Cincinnati (UC),Biology,21810.0,1.13,2019-2020,,,-84.515631,39.1319205
1080,Massachusetts Institute of Technology (MIT),Media Arts and Sciences,38484.0,1.38,2018-2019,3rd,"12 month total if working all year as an RA. paid per semester. good health insurance included, although not for dependents or partners. ",-71.0935805,42.358984
1081,"Rutgers the State University of New Jersey , Newark",School of Criminal Justice ,28000.0,1.03,2018-2019,2nd,,-74.4107,40.4882
1082,Brown University,Theater Arts & Performance Studies,30960.0,1.36,2019-2020,1st,,-71.403962,41.8261575
1083,"University of Michigan , Ann Arbor (UM)",History,31500.0,1.36,2018-2019,1st,"I'm on a graduate school funding structure so I'm paid more upfront than my colleagues, but they will have more funding come year 5/6.",-83.73849799999999,42.2771875
1084,Northwestern University (NU),Sociology,35500.0,1.46,2018-2019,3rd,,-87.681944,42.050146
1085,University of Central Florida (UCF),Management,22500.0,0.97,2018-2019,4th,Tuition paid for ,-81.197224,28.605102
1086,Northwestern University (NU),History ,31625.0,1.3,2019-2020,2nd,,-87.681944,42.050146
1087,"University of Texas , Austin (UT)",History,24000.0,1.05,2018-2019,3rd,,-97.734734,30.269594
1088,"Rutgers the State University of New Jersey , New Brunswick",English,29000.0,1.12,2019-2020,1st,,-74.447763,40.50005625
1089,University of Rochester (UR),Biomedical Genetics,29567.0,1.38,2018-2019,4th,Health insurance included. Dental and vision insurance is not made available to students. ,7.497353,46.308815
1090,Massachusetts Institute of Technology (MIT),Computational Biology,39680.0,1.42,2019-2020,2nd,Tuition covered.,-71.0935805,42.358984
1091,Mississippi State University (MSU),"Wildlife, Fisheries and Aquaculture ",22890.0,1.05,2019-2020,1st,"Health insurance, tuition, and most fees are covered by our department ",-88.794431,33.455133
1092,Trinity College Dublin ,Psychiatry,16000.0,,2019-2020,1st,"In Ireland as a PhD student you get paid through a grant/award, so gross and net pay are the same since it isn't taxed. Tuition isn't paid, but the grant technically doesn't cover full tuition, so the remainder is collected through free labor (a certain number of unpaid teaching hours) of students. After the min. hours to cover the remainder of tuition are completed then you get paid hourly for any teaching duties, around 30-35 an hour. Most PhDs also do other casual/part-time work within and outside campus. ",-6.257573875,53.34432087500001
1093,"University of Massachusetts , Lowell (UML)",Criminology and Justice Studies,14620.0,0.52,2019-2020,2nd,I pay part of my health insurance (380) but the majority of it is covered. I also pay for books and materials obviously.,-71.314266,42.641937
1094,"University of Maryland , College Park (UMD)",Neuroscience and Cognitive Science,19810.0,0.72,2012-2013,1st,"9.5 month assistantship.
Student fees vary by credits registered for. 
Under 10 credits: $403.13/semester 
Over 10 credits: $723.00/semester",-76.94796,38.984325999999996
1095,University of Florida (UF),Pharmaceutical Outcomes and Policy,27260.0,1.2,2019-2020,3rd,"If a student is a PharmD, they get paid $4,000-$5,000 more because they teach in the PharmD courses. ",-81.197224,28.605102
1096,Virginia Tech,civil engineering,44000.0,2.09,2019-2020,1st,,-80.40839349999999,37.207
1097,Harvard University (HU),Population Health Sciences,35651.0,1.24,2019-2020,4th,,-6.95,37.25
1098,University of Pennsylvania,Chemistry,34000.0,1.41,2019-2020,1st,,-75.191259,39.9492625
1099,George Washington University (GW),Department of Biological Sciences,26000.0,0.84,2018-2019,1st,,-77.046676,38.900132
1100,,Plant and microbial biology,17000.0,,2019-2020,2nd,,,
1103,North Carolina State University (NCSU),Plant and microbial biology,14000.0,0.61,2019-2020,2nd,,-78.6727755,35.7861945
1104,Harvard University (HU),Biological Sciences in Public Health,39851.0,1.39,2019-2020,2nd,,-6.95,37.25
1105,University of Ottawa,Neuroscience,9800.0,,2018-2019,1st,,-75.683077,45.42237
1106,Carnegie Mellon University (CMU),Chemical Engineering,30750.0,1.49,2019-2020,1st,,-79.9449435,40.44288975
1107,Washington University in St. Louis (Wash U),Biology,30500.0,1.48,2019-2020,3rd,,-90.311359,38.648015
1108,Michigan State University (MSU),Psychology ,27000.0,1.32,2018-2019,2nd,Fellowship level,-84.481719,42.731303
1109,"University of California , Los Angeles (UCLA)",Architecture,26000.0,1.0,2018-2019,1st,Salary at 25% + stipend + summer teaching/grant (not guaranteed),-118.444563,34.071048
1110,Imperial College London,Chemical Engineering,22321.0,,2019-2020,3rd,,-0.1769325,51.4985565
1111,universite de montreal,computer science,25000.0,,2019-2020,,,-73.6161915,45.503234500000005
1112,Indiana University,Music Theory,15000.0,0.7,2019-2020,1st,Only 96% of my tuition is covered,-86.520913,39.16719
1113,"University at Albany , SUNY",Sociology,25400.0,1.12,2019-2020,4th,,-73.749616,42.648305
1114,University of Kansas (KU),Special Education ,26400.0,1.41,2011-2012,3rd,"Amount is not taxed, federal fellowship",47.5906041080513,29.3412115743027
1115,Yale University (YU),MD/PhD,32000.0,1.29,2019-2020,2nd,,-88.9972051619975,20.721291176
1116,University of Sussex ,Life science ,18475.0,,2019-2020,4th,,-0.08701,50.865798
1118,KU Leuven,Economics,33000.0,,2018-2019,4th,,4.502031,51.06812
1119,"City, University of London",Mathematics,16000.0,,2019-2020,1st,,-0.10236400000000001,51.527478
1120,University of Warwick (UK),Chemistry,19685.0,,2019-2020,3rd,,-1.5616379999999999,52.380857
1121,University of Oxford,Chemistry,19700.0,,2019-2020,3rd,,-1.2477805,51.750847500000006
1122,"Birkbeck, University of London",Biological sciences,20000.0,,2014-2015,4th,,-0.12975997265625,51.522483939453124
1123,Ohio State University (OSU),Electrical and Computer Engineering,23972.0,1.19,2019-2020,,"University covers 85% health insurance, I pay 15%.",-83.029862,40.020121
1124,University of Birmingham ,PhD metallurgy and Materials,19721.0,,2018-2019,1st,,-1.9305515,52.450079
1125,Laval university,Forestry ,18000.0,,2019-2020,3rd,,-73.721343,45.558582
1126,Massachusetts Institute of Technology (MIT),Urban Studies and Planning,24500.0,0.88,2018-2019,2nd,,-71.0935805,42.358984
1127,University of Tokyo,Computer Science ,36000.0,,2019-2020,3rd,,139.761332,35.713013
1128,University College London,Physics,22336.0,,2018-2019,1st,,-0.129293625,51.52274641601562
1130,University of Cambridge,PhD Psychiatry,22300.0,,2018-2019,3rd,,0.136473,52.186507
1131,Texas Tech University (TTU),Animal and Food Sciences,12000.0,0.59,2018-2019,4th,,-101.886033,33.590215
1132,Irell & Manella Graduate School of Biological Sciences at Beckman Research Institute,,33850.0,,2017-2018,6th and up,This is the graduate program at the Beckman Research Institute at The City of Hope in Duarte CA,100.301457,5.355946
1133,University of Cape Town,Civil Engineering,15500.0,,2018-2019,4th,South Africa's cost of living is not too high. Most PhD grad students get less than this.,18.46,-33.96
1134,University of South Carolina (USC),Finance,22500.0,1.0,2019-2020,4th,,-80.375953,33.933773
1136,California Institute of Technology (Caltech),Bioengineering,36000.0,1.39,2019-2020,4th,,-118.12562600000001,34.138344000000004
1137,"University of California , Riverside (UCR)",Plant Pathology,25600.0,1.06,2018-2019,3rd,,-117.327529,33.970224
1139,University of Antwerp,Biology,26440.0,,2012-2013,1st,,4.411748,51.2231775
1140,Fordham University (FU),Economics,23900.0,0.8,2018-2019,2nd,,-117.88466149999999,33.880694
1141,University of Delaware (UD),Chemical engineering,31000.0,1.22,2018-2019,3rd,"$396 per spring and fall semesters, summer is around $190
",-75.74845024999999,39.679881249999994
1142,Scuola Normale Superiore,Neuroscience,18700.0,,2019-2020,4th,"Health insurance covered, visa fees covered, several months maternity leave, free meals offered from the university canteen. 4 year limit.",10.400176,43.719525000000004
1143,"Champalimaud Foundation , Lisbon, Portugal",INDP,12000.0,,2018-2019,2nd,,-9.16667,38.71667
1144,Leuphana University,Political science ,17400.0,,2018-2019,3rd,"Three year stipend, untaxed ",10.4007845,53.229231
1145,Stanford University (SU),Biology,44100.0,1.54,2019-2020,1st,,-115.114218,36.002823
1146,"University of North Carolina , Chapel Hill (UNC)",History ,18700.0,0.84,2019-2020,3rd,,-79.049486,35.9083286875
1147,University of Hong Kong,Education,36223.0,,2018-2019,2nd,3 year programme fully funded with HK Government PhD Fellowship,114.1282755,22.2674955
1149,"Louisiana State University , Baton Rouge",Doctor of Design,12619.0,0.58,2019-2020,1st,,-91.178322,30.414605
1150,Stanford University (SU),History/PhD,36800.0,1.28,2018-2019,5th,,-115.114218,36.002823
1151,Vanderbilt University,Hearing and Speech sciences,24596.0,1.07,2017-2018,6th and up,,-86.80421050000001,36.146879999999996
1152,Yeshiva University (YU),Neuroscience,33000.0,1.11,2018-2019,6th and up,,29.9750715,40.7081765
1153,University of Utah,Biomedical Engineering,26350.0,1.18,2019-2020,5th,,-111.837882,40.769755
1154,Yale University (YU),Psychology,30625.0,1.24,2019-2020,3rd,,-88.9972051619975,20.721291176
1155,University of Southern California (USC),American studies and ethnicity ,31900.0,1.23,2018-2019,5th,,-118.14106,34.146771
1156,Princeton University,Chemistry,38000.0,1.5,2016-2017,4th,"NSF GRFP (34k + 4k/year top-up award for external funding). Medical included (student plan), but dental/vision extra. ",-74.65832225,40.3451335
1157,"University of Michigan , Ann Arbor (UM)",Earth and Environmental Science,31800.0,1.38,2019-2020,2nd,Covers Health insurance too,-83.73849799999999,42.2771875
1158,University of British Columbia,Medicine,25000.0,,2019-2020,5th,"pay includes base guaranteed funding (28500) + TAing (6500), amount is before tuition (~10k for internationals, 3k scholarship given). Not taxed. ",-123.250612,49.264573
1159,Boston College (BC),Social Work ,20000.0,0.72,2018-2019,3rd,,-71.16855,42.337411
1160,University of South Carolina (USC),English  PhR,13700.0,0.61,2019-2020,1st,,-80.375953,33.933773
1161,Emory University,Immunology,26175.0,1.12,2016-2017,3rd,,-84.38642250000001,33.76855425
1164,"University of Nebraska , Lincoln (NU)",Agricultural Economics,18400.0,0.94,2019-2020,1st,,-96.70419,40.816183
1165,Colorado School of Mines,Civil and environmental engineering,20000.0,0.89,2018-2019,2nd,,-105.22265999999999,39.7503565
1166,University of Chicago (UC),Computer Science,36000.0,1.48,2019-2020,1st,,-77.040457,38.898701
1167,Mount Sinai School of Medicine,Genetics,40000.0,1.35,2018-2019,6th and up,,-73.952448,40.790284
1168,Wichita State University (WSU),Psychology ,11000.0,0.55,2018-2019,5th,Provided in-state tuition at 100% coverage but only because I teach four undergraduate courses with up to 90 students. ,-97.459918,37.75301
1169,University of Utah,Biosciences ,28500.0,1.28,2019-2020,6th and up,,-111.837882,40.769755
1171,University of Chicago (UC),Political Sciencd,25800.0,1.06,2019-2020,5th,,-77.040457,38.898701
1173,"University of Texas , Austin (UT)",Molecular Biosciences,30000.0,1.31,2018-2019,4th,,-97.734734,30.269594
1174,University of New Mexico (UNM),Biomedical Sciences,22000.0,1.05,2019-2020,5th,,-106.62087550000001,35.083292
1175,University of Turku,TuDMM,25000.0,,2019-2020,3rd,About 1700/month after taxes,22.27,60.45167
1177,"University of California , Santa Cruz",Environmental Studies,20775.0,0.77,2019-2020,2nd,,-122.0575945,36.9901525
1179,"University of Minnesota , Twin Cities (UM)",English,19900.0,0.87,2019-2020,1st,,51.4,25.42
1181,University of Texas at Austin,Computational Science and Engineering,30000.0,,2019-2020,2nd,NIMS Fellowship,-97.735642,30.2853755
1182,George Washington University (GW),Industrial organizational Psychology ,26973.0,0.87,2019-2020,2nd,Summer internship,-77.046676,38.900132
1183,University of Texas at Austin,Computational Science and Engineering,30000.0,,2018-2019,1st,,-97.735642,30.2853755
